0,0
0,0
1860,1
4080,1
4800,1
4920,1
4980,1
5040,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4320,0
3180,0
2340,0
1860,0
1440,0
1080,0
780,0
600,0
360,0
120,0
0,0
0,0
0,0
1740,1
4080,1
4740,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4320,0
3180,0
2400,0
1860,0
1380,0
1140,0
780,0
600,0
360,0
60,0
0,0
0,0
0,0
1680,1
4020,1
4740,1
4920,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4920,1
4380,0
3180,0
2400,0
1860,0
1440,0
1080,0
840,0
540,0
360,0
120,0
0,0
0,0
0,0
1560,1
3960,1
4680,1
4920,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4380,0
3180,0
2400,0
1860,0
1440,0
1080,0
840,0
540,0
360,0
180,0
0,0
0,0
0,0
1500,1
3900,1
4680,1
4920,1
4920,1
4980,1
4920,1
4920,1
4980,1
4980,1
4980,1
4920,1
4980,1
4380,0
3240,0
2400,0
1860,0
1440,0
1080,0
840,0
540,0
360,0
60,0
0,0
0,0
0,0
1380,1
3900,1
4680,1
4920,1
4920,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4920,1
4920,1
4500,0
3240,0
2460,0
1860,0
1440,0
1080,0
840,0
540,0
300,0
120,0
0,0
0,0
0,0
1320,1
3840,1
4680,1
4920,1
4920,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4500,0
3300,0
2460,0
1920,0
1440,0
1080,0
840,0
600,0
300,0
120,0
0,0
0,0
0,0
1260,1
3840,1
4680,1
4920,1
4980,1
4920,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4500,0
3300,0
2460,0
1920,0
1440,0
1140,0
780,0
540,0
300,0
60,0
0,0
0,0
0,0
1140,1
3780,1
4680,1
4860,1
4980,1
4920,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4560,0
3300,0
2520,0
1860,0
1440,0
1080,0
780,0
540,0
240,0
60,0
0,0
0,0
0,0
1080,1
3660,1
4620,1
4860,1
4980,1
4920,1
4980,1
4980,1
4980,1
4980,1
4980,1
4920,1
4980,1
4560,0
3360,0
2520,0
1860,0
1440,0
1080,0
780,0
540,0
240,0
0,0
0,0
0,0
0,0
1020,1
3660,1
4620,1
4860,1
4980,1
4920,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4980,1
4560,0
3360,0
2520,0
1920,0
1500,0
1080,0
780,0
540,0
300,0
0,0
0,0
0,0
